UID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,buy
UID56,41,technician,divorced,secondary,no,106,yes,yes,cellular,8,may,197,2,-1,0,unknown,0
UID57,44,admin.,married,secondary,no,14,no,yes,unknown,30,may,827,5,-1,0,unknown,0
UID58,39,blue-collar,divorced,primary,no,3970,yes,no,cellular,18,nov,56,1,-1,0,unknown,0
UID59,31,technician,single,secondary,no,354,no,yes,cellular,22,aug,186,2,-1,0,unknown,0
UID60,44,blue-collar,single,secondary,no,641,no,no,unknown,15,may,257,1,-1,0,unknown,0
UID61,63,retired,married,secondary,no,474,no,no,cellular,25,jan,423,1,-1,0,unknown,1
UID62,43,technician,divorced,secondary,no,1326,no,no,cellular,26,aug,93,2,-1,0,unknown,0
UID63,47,technician,married,secondary,no,17206,yes,no,cellular,19,aug,125,4,-1,0,unknown,0
UID64,33,management,married,tertiary,no,418,yes,no,cellular,21,nov,159,1,-1,0,unknown,0
UID65,33,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,unknown,0
UID66,47,blue-collar,married,secondary,no,438,yes,no,unknown,7,may,46,3,-1,0,unknown,0
UID67,35,blue-collar,single,primary,no,227,no,yes,unknown,5,jun,414,1,-1,0,unknown,0
UID68,27,blue-collar,single,primary,no,268,no,no,unknown,4,jun,32,1,-1,0,unknown,0
UID69,46,blue-collar,married,primary,no,5393,yes,no,cellular,20,nov,997,2,-1,0,unknown,0
UID70,31,blue-collar,single,secondary,no,2137,no,no,unknown,29,may,413,1,-1,0,unknown,0
UID71,36,blue-collar,married,secondary,no,1482,yes,no,cellular,21,nov,154,1,-1,0,unknown,0
UID72,66,management,married,unknown,no,2149,yes,no,cellular,26,may,135,2,90,11,success,1
UID73,49,retired,married,secondary,no,329,yes,no,unknown,14,may,264,2,-1,0,unknown,0
UID74,28,blue-collar,married,secondary,no,-493,yes,no,unknown,18,jun,126,4,-1,0,unknown,0
UID75,30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,unknown,1
UID76,28,management,single,tertiary,no,3796,no,no,cellular,8,jul,315,2,-1,0,unknown,1
UID77,32,management,single,tertiary,no,0,yes,yes,cellular,17,nov,107,2,-1,0,unknown,0
UID78,35,student,divorced,primary,no,2755,yes,no,cellular,14,may,177,2,345,3,other,0
UID79,60,management,married,unknown,no,264,no,no,telephone,1,feb,265,1,-1,0,unknown,1
UID80,30,blue-collar,single,secondary,no,191,no,no,cellular,25,jul,66,2,-1,0,unknown,0
UID81,37,management,married,primary,no,4721,no,no,telephone,28,jan,46,1,-1,0,unknown,0
UID82,46,unemployed,married,primary,no,1251,yes,no,cellular,6,feb,665,2,-1,0,unknown,0
UID83,31,technician,single,secondary,no,13,no,no,cellular,21,nov,208,1,-1,0,unknown,0
UID84,56,blue-collar,married,primary,no,3643,no,no,unknown,20,jun,11,3,-1,0,unknown,0
UID85,38,technician,single,secondary,no,311,yes,no,cellular,28,may,61,2,-1,0,unknown,0
UID86,47,housemaid,married,primary,no,97,no,yes,telephone,21,nov,109,1,-1,0,unknown,0
UID87,33,blue-collar,married,tertiary,no,6138,yes,no,cellular,19,nov,384,1,183,1,failure,0
UID88,33,management,married,tertiary,no,3024,no,no,cellular,19,nov,118,1,-1,0,unknown,0
UID89,33,admin.,divorced,secondary,no,140,yes,no,unknown,8,may,139,1,-1,0,unknown,0
UID90,33,technician,married,secondary,no,73,yes,no,cellular,2,jul,218,1,-1,0,unknown,1
UID91,25,student,single,secondary,no,1116,yes,no,cellular,1,jun,119,1,20,5,failure,0
UID92,32,technician,married,secondary,no,5626,yes,no,cellular,21,nov,131,1,-1,0,unknown,0
UID93,40,admin.,divorced,secondary,no,2550,yes,no,unknown,2,jun,424,2,-1,0,unknown,0
UID94,26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown,1
UID95,51,management,married,tertiary,no,2430,no,no,cellular,4,aug,266,2,-1,0,unknown,0
UID96,32,management,married,tertiary,no,4,no,no,cellular,22,aug,195,4,-1,0,unknown,0
UID97,31,technician,single,secondary,no,2544,no,no,cellular,12,jan,229,1,279,2,success,1
UID98,38,management,divorced,tertiary,no,547,yes,no,unknown,14,may,137,4,-1,0,unknown,0
UID99,37,admin.,married,secondary,no,2061,yes,yes,cellular,22,jun,459,1,109,3,failure,1
UID100,58,admin.,divorced,secondary,no,3058,yes,no,telephone,11,may,114,1,368,1,failure,0
UID101,48,technician,married,secondary,no,147,no,no,unknown,6,may,142,3,-1,0,unknown,0
UID102,44,management,married,tertiary,no,1383,no,no,cellular,22,aug,243,12,-1,0,unknown,0
UID103,32,technician,married,secondary,no,3322,yes,no,cellular,20,apr,380,1,74,4,failure,0
UID104,56,management,married,tertiary,no,3039,no,no,unknown,6,jun,420,2,-1,0,unknown,0
UID105,30,technician,married,secondary,no,817,yes,no,cellular,21,nov,208,3,91,4,failure,0
UID106,43,blue-collar,married,primary,yes,1202,no,no,unknown,30,may,295,1,-1,0,unknown,0
UID107,42,management,married,tertiary,no,199,yes,no,cellular,9,jul,497,1,-1,0,unknown,0
UID108,37,technician,married,secondary,no,720,yes,no,cellular,14,may,365,6,36,3,failure,0
UID109,34,services,single,tertiary,no,371,no,no,unknown,20,may,77,1,-1,0,unknown,0
UID110,49,management,married,tertiary,no,322,no,no,cellular,6,aug,72,4,-1,0,unknown,0
UID111,38,management,married,tertiary,no,2656,no,no,cellular,8,jul,230,2,-1,0,unknown,0
UID112,37,blue-collar,single,primary,no,275,yes,no,cellular,11,may,103,1,367,1,other,0
UID113,46,self-employed,single,secondary,no,69,no,yes,cellular,18,jul,103,2,-1,0,unknown,0
UID114,58,retired,married,secondary,no,7560,no,no,cellular,12,aug,364,2,-1,0,unknown,0
UID115,60,blue-collar,married,primary,no,0,no,yes,cellular,13,aug,324,4,-1,0,unknown,0
UID116,57,management,married,tertiary,no,256,no,no,cellular,5,jun,304,2,91,1,success,1
UID117,29,management,single,tertiary,no,2955,no,no,cellular,29,apr,226,2,-1,0,unknown,1
UID118,47,retired,married,secondary,no,2383,no,no,unknown,9,jun,529,1,-1,0,unknown,0
UID119,19,student,single,unknown,no,60,no,no,cellular,14,aug,253,1,-1,0,unknown,0
UID120,31,technician,married,secondary,no,30,no,no,telephone,11,aug,133,5,-1,0,unknown,0
UID121,42,management,married,tertiary,no,294,no,no,cellular,26,aug,513,1,-1,0,unknown,1
UID122,79,retired,married,secondary,no,2354,no,no,telephone,7,aug,121,2,-1,0,unknown,0
UID123,30,student,single,secondary,no,1681,no,no,cellular,23,mar,128,1,106,2,success,1
UID124,45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown,0
UID125,50,blue-collar,married,primary,no,111,yes,no,telephone,15,may,8,6,366,1,other,0
UID126,42,blue-collar,married,secondary,no,429,yes,no,cellular,18,may,110,1,370,1,failure,0
UID127,34,management,single,tertiary,no,2093,no,no,cellular,8,aug,371,6,-1,0,unknown,0
UID128,37,management,married,tertiary,no,332,yes,no,cellular,14,aug,190,2,84,7,failure,0
UID129,29,blue-collar,single,secondary,no,16,no,no,unknown,12,may,197,3,-1,0,unknown,0
UID130,35,blue-collar,married,secondary,no,25,yes,no,unknown,8,may,23,5,-1,0,unknown,0
UID131,34,management,married,tertiary,no,1495,yes,no,cellular,7,may,50,1,-1,0,unknown,0
UID132,39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96,2,-1,0,unknown,0
UID133,36,admin.,single,tertiary,no,1568,no,no,unknown,17,jun,433,2,-1,0,unknown,0
UID134,36,management,married,tertiary,no,535,no,no,cellular,20,apr,150,2,-1,0,unknown,1
UID135,33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown,0
UID136,50,entrepreneur,divorced,tertiary,no,816,no,no,cellular,19,nov,630,1,-1,0,unknown,0
UID137,34,services,married,secondary,no,-118,yes,no,cellular,12,may,230,1,-1,0,unknown,0
UID138,54,unemployed,divorced,secondary,no,1664,no,no,cellular,2,jun,257,3,-1,0,unknown,1
UID139,33,management,single,tertiary,no,20794,no,no,cellular,20,aug,226,5,-1,0,unknown,0
UID140,46,blue-collar,married,secondary,no,7,no,no,unknown,17,jun,110,2,-1,0,unknown,0
UID141,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,unknown,1
UID142,28,technician,single,secondary,yes,-298,yes,no,unknown,3,jun,559,7,-1,0,unknown,0
UID143,41,management,married,tertiary,no,251,no,yes,unknown,6,jun,85,3,-1,0,unknown,0
UID144,45,management,married,primary,no,321,yes,no,cellular,30,jul,918,4,-1,0,unknown,0
UID145,56,retired,married,unknown,no,228,yes,no,unknown,28,may,296,1,-1,0,unknown,0
UID146,52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,unknown,0
UID147,35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,214,1,-1,0,unknown,1
UID148,49,admin.,married,primary,no,686,yes,yes,cellular,1,apr,286,2,225,4,other,0
UID149,56,technician,divorced,secondary,no,0,no,no,cellular,26,aug,471,8,-1,0,unknown,0
UID150,33,management,married,tertiary,no,255,yes,no,cellular,21,jul,75,2,-1,0,unknown,0
UID151,39,management,married,tertiary,yes,-1586,yes,yes,cellular,16,jul,89,2,-1,0,unknown,0
UID152,47,housemaid,married,primary,no,32,no,no,cellular,5,aug,231,2,-1,0,unknown,0
UID153,53,blue-collar,married,secondary,no,285,yes,yes,telephone,30,jul,242,4,-1,0,unknown,0
UID154,28,blue-collar,single,secondary,no,2806,no,no,cellular,13,oct,285,1,120,1,other,0
UID155,31,self-employed,single,secondary,no,1086,no,no,cellular,20,nov,410,1,-1,0,unknown,0
UID156,25,technician,single,secondary,no,1847,no,no,cellular,26,may,137,2,-1,0,unknown,0
UID157,49,admin.,married,secondary,no,5361,no,no,cellular,7,aug,70,1,-1,0,unknown,0
UID158,40,blue-collar,single,secondary,no,322,yes,no,cellular,7,may,201,1,-1,0,unknown,0
UID159,27,management,single,secondary,no,565,yes,no,cellular,18,may,170,2,346,11,failure,0
UID160,29,blue-collar,married,primary,no,-235,yes,no,cellular,22,jul,189,1,-1,0,unknown,0
UID161,26,blue-collar,single,secondary,no,-116,yes,yes,unknown,9,may,208,1,-1,0,unknown,0
UID162,46,technician,married,secondary,no,0,yes,no,unknown,4,jun,242,5,-1,0,unknown,0
UID163,48,admin.,married,primary,no,607,no,no,unknown,20,jun,29,2,-1,0,unknown,0
UID164,30,technician,single,secondary,no,3,no,no,cellular,22,aug,198,2,-1,0,unknown,0
UID165,31,blue-collar,married,secondary,no,-204,yes,yes,cellular,11,aug,429,7,-1,0,unknown,0
UID166,37,management,married,tertiary,no,425,yes,no,unknown,20,may,226,1,-1,0,unknown,0
UID167,28,blue-collar,married,secondary,no,5611,yes,no,unknown,3,jun,340,2,-1,0,unknown,0
UID168,31,services,married,secondary,no,371,yes,yes,cellular,17,apr,654,1,-1,0,unknown,0
UID169,41,management,divorced,tertiary,no,1064,no,no,cellular,25,aug,81,4,-1,0,unknown,0
UID170,30,blue-collar,married,primary,no,190,no,no,telephone,12,may,29,2,370,1,failure,0
UID171,55,technician,married,unknown,no,0,no,no,unknown,16,jun,153,1,-1,0,unknown,0
UID172,47,entrepreneur,divorced,secondary,no,392,yes,yes,cellular,16,apr,279,3,148,1,failure,0
UID173,44,blue-collar,married,secondary,no,373,yes,no,unknown,8,may,122,2,-1,0,unknown,0
UID174,38,technician,single,tertiary,no,1619,no,no,unknown,9,jun,324,1,-1,0,unknown,0
UID175,35,blue-collar,married,secondary,no,162,no,yes,cellular,22,jul,675,2,-1,0,unknown,0
UID176,36,admin.,single,secondary,no,115,no,no,cellular,2,feb,225,1,-1,0,unknown,0
UID177,58,retired,married,secondary,no,610,yes,no,unknown,6,jun,651,1,-1,0,unknown,0
UID178,53,technician,married,secondary,no,944,yes,no,cellular,23,jul,799,4,-1,0,unknown,0
UID179,41,unemployed,married,tertiary,no,0,no,no,cellular,29,apr,882,1,181,3,success,1
UID180,33,management,married,tertiary,no,332,yes,yes,cellular,28,jan,706,1,-1,0,unknown,0
UID181,34,admin.,married,secondary,no,1651,no,no,cellular,4,feb,246,1,-1,0,unknown,0
UID182,50,technician,married,secondary,no,1765,yes,no,unknown,12,jun,247,2,-1,0,unknown,0
UID183,55,technician,divorced,tertiary,no,56,no,no,cellular,27,aug,94,6,-1,0,unknown,0
UID184,53,entrepreneur,single,unknown,no,202,no,no,cellular,28,jul,106,3,-1,0,unknown,0
UID185,33,unemployed,single,secondary,no,0,yes,yes,cellular,25,aug,159,2,-1,0,unknown,0
UID186,31,technician,married,secondary,no,54,no,no,cellular,20,nov,775,1,-1,0,unknown,0
UID187,45,blue-collar,married,secondary,no,27,yes,no,unknown,12,may,299,5,-1,0,unknown,0
UID188,49,management,divorced,tertiary,no,348,no,no,cellular,30,oct,125,1,-1,0,unknown,1
UID189,25,management,single,tertiary,no,1348,yes,no,unknown,8,may,109,1,-1,0,unknown,0
UID190,36,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,189,1,-1,0,unknown,0
UID191,50,management,married,tertiary,no,126,yes,no,cellular,12,may,132,3,-1,0,unknown,0
UID192,48,admin.,married,secondary,no,844,no,no,cellular,28,aug,12,21,-1,0,unknown,0
UID193,33,services,married,secondary,no,2184,yes,no,cellular,20,apr,151,1,-1,0,unknown,0
UID194,26,blue-collar,married,primary,no,178,yes,no,unknown,4,jun,833,2,-1,0,unknown,0
UID195,38,blue-collar,married,primary,no,2569,no,no,unknown,9,jun,172,1,-1,0,unknown,0
UID196,28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other,1
UID197,41,technician,married,secondary,no,-366,yes,yes,unknown,6,may,29,3,-1,0,unknown,0
UID198,23,student,single,unknown,no,2530,no,no,cellular,12,may,411,1,-1,0,unknown,1
UID199,29,blue-collar,single,tertiary,no,11310,yes,no,cellular,30,jul,436,3,-1,0,unknown,0
UID200,56,housemaid,married,primary,no,0,yes,yes,cellular,11,jul,118,2,-1,0,unknown,0
UID201,37,technician,single,secondary,no,29,no,no,unknown,3,jul,269,2,-1,0,unknown,0
UID202,59,management,married,tertiary,no,37,no,no,cellular,12,aug,64,9,-1,0,unknown,0
UID203,48,blue-collar,married,unknown,no,113,no,no,cellular,11,aug,104,13,-1,0,unknown,0
UID204,52,services,married,secondary,no,-336,no,yes,unknown,12,jun,111,8,-1,0,unknown,0
UID205,31,blue-collar,married,secondary,no,-112,yes,no,cellular,12,may,584,2,-1,0,unknown,0
UID206,53,services,married,secondary,no,367,yes,yes,cellular,29,jan,155,1,261,2,failure,0
UID207,46,blue-collar,married,secondary,no,450,yes,no,cellular,17,apr,198,1,-1,0,unknown,0
UID208,56,services,divorced,primary,no,588,no,no,cellular,17,nov,303,2,-1,0,unknown,0
UID209,37,self-employed,divorced,tertiary,no,60,no,yes,unknown,4,jul,426,3,-1,0,unknown,0
UID210,35,management,divorced,tertiary,no,771,yes,yes,cellular,19,nov,110,1,93,5,failure,0
UID211,80,retired,married,primary,no,2954,no,no,cellular,25,sep,144,1,-1,0,unknown,0
UID212,45,entrepreneur,married,primary,no,276,yes,yes,cellular,14,may,586,1,364,1,failure,0
UID213,28,services,single,secondary,no,341,yes,no,cellular,15,may,437,3,347,3,other,1
UID214,23,management,single,tertiary,no,1506,no,no,cellular,9,mar,131,4,-1,0,unknown,1
UID215,28,entrepreneur,single,tertiary,no,135,yes,no,unknown,21,may,195,1,-1,0,unknown,0
UID216,38,blue-collar,single,secondary,no,0,no,no,cellular,13,aug,255,2,105,1,failure,0
UID217,30,admin.,married,secondary,no,457,yes,no,unknown,3,jun,384,5,-1,0,unknown,0
UID218,48,management,married,primary,no,1513,no,no,cellular,29,jan,166,2,-1,0,unknown,0
UID219,35,management,single,tertiary,no,539,yes,no,cellular,3,feb,198,2,267,1,other,0
UID220,53,management,married,tertiary,no,261,no,no,cellular,19,aug,100,2,-1,0,unknown,0
UID221,52,blue-collar,married,primary,no,1007,yes,no,unknown,16,may,248,2,-1,0,unknown,0
UID222,28,blue-collar,single,tertiary,no,727,yes,no,unknown,6,jun,144,4,-1,0,unknown,0
UID223,32,housemaid,divorced,secondary,no,715,yes,yes,unknown,16,may,14,15,-1,0,unknown,0
UID224,51,admin.,married,secondary,no,4178,yes,no,unknown,30,may,556,1,-1,0,unknown,0
UID225,51,unemployed,divorced,tertiary,no,5,no,no,cellular,18,nov,124,1,-1,0,unknown,0
UID226,45,technician,single,secondary,no,792,no,no,cellular,19,nov,111,5,-1,0,unknown,0
UID227,36,management,married,tertiary,no,59,yes,yes,unknown,4,jul,100,1,-1,0,unknown,0
UID228,57,blue-collar,married,unknown,no,108,no,no,unknown,12,jun,98,1,-1,0,unknown,0
UID229,40,technician,single,secondary,yes,96,no,yes,cellular,21,jul,181,2,-1,0,unknown,0
UID230,29,self-employed,single,tertiary,no,476,yes,no,cellular,18,may,427,1,-1,0,unknown,1
UID231,36,technician,married,tertiary,no,52,no,no,cellular,28,aug,101,10,-1,0,unknown,0
UID232,57,management,married,tertiary,no,297,no,no,cellular,5,feb,633,1,-1,0,unknown,0
UID233,54,technician,married,tertiary,no,395,no,no,cellular,30,apr,183,1,183,2,success,1
UID234,41,services,married,unknown,no,1538,no,no,cellular,29,jul,710,2,-1,0,unknown,1
UID235,35,unemployed,married,primary,no,8489,yes,no,cellular,20,nov,217,1,-1,0,unknown,0
UID236,41,blue-collar,married,secondary,no,641,yes,no,unknown,13,may,161,1,-1,0,unknown,0
UID237,55,services,married,secondary,no,529,yes,no,cellular,29,jul,137,2,-1,0,unknown,0
UID238,43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,0
UID239,51,management,married,primary,no,108,no,no,cellular,18,nov,169,2,-1,0,unknown,0
UID240,43,blue-collar,married,secondary,no,490,yes,no,cellular,8,may,216,2,368,2,failure,0
UID241,39,management,single,secondary,no,36,no,no,cellular,29,aug,70,2,-1,0,unknown,0
UID242,36,management,married,primary,no,5427,no,no,unknown,12,jun,398,1,-1,0,unknown,0
UID243,29,services,single,tertiary,no,8947,yes,no,cellular,4,may,535,2,-1,0,unknown,0
UID244,49,management,married,tertiary,no,0,no,no,cellular,19,aug,78,6,-1,0,unknown,0
UID245,34,blue-collar,single,secondary,no,1923,no,no,cellular,11,aug,159,1,-1,0,unknown,0
UID246,53,unemployed,divorced,secondary,no,1242,no,no,unknown,5,jun,280,1,-1,0,unknown,0
UID247,30,services,married,secondary,no,134,yes,no,cellular,17,apr,834,1,-1,0,unknown,0
UID248,50,technician,married,secondary,no,1541,yes,no,unknown,29,may,744,1,-1,0,unknown,0
UID249,35,blue-collar,single,unknown,no,871,yes,no,unknown,6,jun,216,3,-1,0,unknown,0
UID250,36,unemployed,married,secondary,yes,-318,yes,no,unknown,15,may,133,2,-1,0,unknown,0
UID251,33,blue-collar,single,secondary,no,1254,yes,no,cellular,14,apr,584,1,-1,0,unknown,0
UID252,47,blue-collar,divorced,secondary,no,380,yes,no,unknown,16,may,268,6,-1,0,unknown,0
UID253,35,technician,single,tertiary,no,8,no,no,cellular,21,aug,169,2,-1,0,unknown,0
UID254,32,admin.,single,secondary,no,540,yes,no,cellular,21,nov,379,2,-1,0,unknown,0
UID255,49,blue-collar,married,secondary,no,787,yes,no,unknown,5,jun,280,1,-1,0,unknown,0
UID256,30,services,single,secondary,no,-114,yes,no,cellular,21,jul,396,2,-1,0,unknown,0
UID257,30,technician,single,secondary,no,53,yes,no,cellular,18,jul,352,5,-1,0,unknown,0
UID258,47,technician,divorced,secondary,no,2914,yes,no,cellular,18,aug,405,13,-1,0,unknown,0
UID259,33,management,single,tertiary,no,3770,no,no,cellular,28,jan,757,2,-1,0,unknown,0
UID260,82,retired,divorced,primary,no,0,no,no,telephone,15,mar,506,2,195,1,other,1
UID261,37,unemployed,single,tertiary,no,953,yes,no,cellular,2,feb,102,1,155,5,failure,0
UID262,49,management,single,tertiary,no,493,no,no,cellular,23,apr,191,1,-1,0,unknown,0
UID263,35,admin.,single,secondary,no,-101,yes,no,cellular,16,apr,275,1,318,1,other,0
UID264,40,unemployed,single,tertiary,no,97,yes,yes,cellular,2,feb,73,1,252,1,failure,0
UID265,40,housemaid,married,tertiary,no,795,yes,no,unknown,29,may,725,3,-1,0,unknown,0
UID266,52,admin.,married,secondary,no,693,no,no,unknown,12,jun,271,1,-1,0,unknown,0
UID267,59,blue-collar,married,primary,no,595,no,no,telephone,31,jul,208,7,-1,0,unknown,0
UID268,33,blue-collar,married,primary,no,158,yes,no,cellular,4,feb,110,1,264,4,failure,0
UID269,49,services,divorced,secondary,no,0,no,no,cellular,28,jul,412,2,-1,0,unknown,1
UID270,36,management,married,tertiary,no,2813,yes,no,cellular,7,aug,88,3,-1,0,unknown,0
UID271,30,services,single,secondary,no,0,yes,no,cellular,18,may,131,6,363,9,failure,0
UID272,31,blue-collar,married,primary,no,242,no,no,cellular,29,jan,24,1,-1,0,unknown,0
UID273,60,retired,married,tertiary,no,3461,no,no,cellular,26,may,94,2,112,2,failure,0
UID274,50,housemaid,divorced,primary,no,94,yes,no,cellular,22,jul,184,4,-1,0,unknown,0
UID275,37,housemaid,married,secondary,no,285,no,no,unknown,16,jun,401,2,-1,0,unknown,0
UID276,56,blue-collar,married,secondary,no,1602,yes,no,unknown,6,may,427,1,-1,0,unknown,0
UID277,39,services,married,secondary,no,323,no,no,cellular,3,dec,1804,3,182,3,other,0
UID278,30,admin.,single,secondary,no,387,yes,no,unknown,8,may,75,1,-1,0,unknown,0
UID279,37,technician,divorced,secondary,no,1772,no,no,unknown,3,jun,202,1,-1,0,unknown,0
UID280,56,technician,married,tertiary,no,272,no,no,cellular,26,aug,103,2,-1,0,unknown,0
UID281,33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,-1,0,unknown,1
UID282,58,blue-collar,married,primary,no,6762,no,no,cellular,28,aug,9,25,-1,0,unknown,0
UID283,48,services,divorced,secondary,no,297,no,no,cellular,18,aug,121,4,-1,0,unknown,0
UID284,30,services,single,secondary,no,211,no,yes,cellular,10,jul,133,3,-1,0,unknown,0
UID285,51,blue-collar,married,secondary,no,2237,yes,no,unknown,29,may,619,1,-1,0,unknown,0
UID286,32,technician,married,secondary,no,1026,no,no,cellular,28,aug,94,3,-1,0,unknown,0
